Names,First,Middle,Last,Male,Female
Timothy,True,True,False,True,False
Koppisch,False,False,True,True,True
Ash,True,True,False,True,False
Ciel,True,True,False,True,False
Esmelas,True,True,False,True,False
Gary,True,True,False,True,False
Ordis,True,True,False,True,False
Rean,True,True,False,True,True
Swin,True,True,False,True,False
Zin,True,True,False,True,False
Carnelia,True,True,False,False,True
Celine,True,True,False,False,True
Ella,True,True,False,False,True
Ember,True,True,False,False,True
Estelle,True,True,False,False,True
Lunamilia,True,True,False,False,True
Misty,True,True,False,False,True
Snoe,True,True,False,False,True
Sapphira,True,True,False,False,True
Lumiere,True,True,False,False,True
Eclair,True,True,False,False,True
Ophelia,True,True,False,False,True
Ellis,False,False,True,False,True
Everett,False,False,True,True,True
Margaret,True,True,False,False,True
Donalda,True,True,False,False,True
